file_name,topo1,topo2,topo3,topo4,address,yandex_map,address_short
_default,Москва,в Москве,по Москве,Москвы,"Москва, улица Свободы, 1к5",3A4d99a8bd413140692b688aa518b49854c3f17984a5e23253e0b6624c1c10b2fa,"улица Свободы, 1к5"
odincovo,Одинцово,в Одинцово,по Одинцово,Одинцово,"Одинцово, Улица Свободы, дом 1",3Ab6b28faa84b8f204d665ef9b8ce34e4a46f8e4e3c2f7beada3ea392fba766d75,"Улица Свободы, дом 1"
ramenskoe,Раменское,в Раменском,по Раменскому,Раменского,"Раменское, улица Куйбышева, 41",3A4bbd64d2aff6e60cb6e48630fd14f504314c0f53d1e026615b9578760af9a5e9,"улица Куйбышева, 41"
krasnogorsk,Красногорск,в Красногорске,по Красногорску,Красногорска,"Красногорск, Школьная улица, 1",3A21a534ee2738847c9c5f691b0368637df19ace20e8dc284cad122d8c97b3a0fd,"Школьная улица, 1"
mytishchi,Мытищи,в Мытищах,по Мытищам,Мытищ,"Мытищи, улица Мира, 51",3A6681fc2dcf653e8f392c885135b028821a137811f0ca9498c4e91f827e999b96,"улица Мира, 51"
khimki,Химки,в Химках,по Химкам,Химок,"Химки, улица Московская, 16",3Af4b1c801d6ba8e3bf3f46e6e8ffff2fda1b0fcd95d73bb52668959b75ed382a9,"улица Московская, 16"
solnechnogorsk,Солнечногорск,в Солнечногорске,по Солнечногорску,Солнечногорска,"Солнечногорск, Красная улица, дом 154",3A710a9661106f89ea0fcd6130316da5ba9defe3d509155eebd0992980e4a1e805,"Красная улица, дом 154"
dmitrov,Дмитров,в Дмитрове,по Дмитрову,Дмитрова,"Дмитров, улица Загорская, 22",3Aafa24cb836df832d216527ff466927055bb891c09084ea76e98a942f2d0efbeb,"улица Загорская, 22"
balashiha,Балашиха,в Балашихе,по Балашихе,Балашихи,"Балашиха, улица Рождественская, 3",3A2a9f7073e37ab85aa22af63a43f4cc3317961750044c0904ab27dd5c989bcfe2,"улица Рождественская, 3"
podolsk,Подольск,в Подольске,по Подольску,Подольска,"Подольск, улица Кирова, 29",3A456a8eb1650b73857c8c054e48353ab68650a62cac9eb25c4188be347ad07d1b,"улица Кирова, 29"
istra,Истра,в Истре,по Истре,Истры,"Истра, улица Морозова, 5",3A91eb1b79b7f4aad34606e629f7271c53123d2f1015348fce5c78727f3ac6812e,"улица Морозова, 5"
chekhov,Чехов,в Чехове,по Чехову,Чехова,"Чехов, улица Чехова, 27",3A8b73c36089a8c78d2d188eb18e5e3c75725ef75ca86d822d4a536c5b6ccd3d4a,"улица Чехова, 27"
sergiev-posad,Сергиев Посад,в Сергиевом Посаде,по Сергиеву Посаду,Сергиева Посада,"Сергиев Посад, проспект Красной Армии, 232А",3Ad31c49784fa3e2b52bf785e028430a689ba696e4ebb39e7545bc13a41ed373e3,"проспект Красной Армии, 232А"
voskresensk,Воскресенск,в Воскресенске,по Воскресенску,Воскресенска,"Воскресенск, улица Андреса, 27с2",3Ab00e39948d34f97ad6e6f8e74bb76dcbbf1d9003341ab1668b9cb180e0540968,"улица Андреса, 27с2"
naro-fominsk,Наро-Фоминск,в Наро-Фоминске,по Наро-Фоминску,Наро-Фоминска,"Наро-Фоминск, лощадь Свободы, 10",3Ad47a7dd159de56fc4bb96dd1c9800a25b18b7f5551e90ea6f954a4ef6b46f619,"лощадь Свободы, 10"
stupino,Ступино,в Ступино,по Ступино,Ступино,"Ступино, улица Горького, вл. 20",3A4cae84ac82408e1ffff1beebc88ccf0090bea14034dc6938bc292da25d78b341,"улица Горького, вл. 20"
kolomna,Коломна,в Коломне,по Коломне,Коломны,"Коломна, улица Октябрьской Революции, 362",3Ae20563dc899deb45a52c3ff34cac734e781063af4876463f648ab09349bf79c5,"улица Октябрьской Революции, 362"
dolgoprudnyj,Долгопрудный,в Долгопрудном,по Долгопрудному,Долгопрудного,"Долгопрудный, Старое Дмитровское ш., 2с1",3Abced20bcf9cdbebe3e3344d38ecf3df434fc0d360ba8ec4d98ff80895fc0eeb3,"Старое Дмитровское ш., 2с1"
korolyov,Королёв,в Королеве,по Королеву,Королева,"Королёв, улица Лесная, 12",3Aec99ed270b6e32e0eb9109290499400ba7d17b88137e3e32ca4cc33be0a7022d,"улица Лесная, 12"
domodedovo,Домодедово,в Домодедово,по Домодедово,Домодедово,"Домодедово, улица Корнеева, 1А",3A27855bf51728f1ca97c32992be2c98ddd599f0df54d6be57bdd2bd785c0f1979,"улица Корнеева, 1А"
pushkino,Пушкино,в Пушкино,по Пушкино,Пушкино,"Пушкино, Московский проспект, 7А",3A097de111556d6300178e310ec76d0919eb135df552d39170dee6e611668fd284,"Московский проспект, 7А"
serpuhov,Серпухов,в Серпухове,по Серпухову,Серпухова,"Серпухов, улица Советская, 111",3A685dcba4f860a8e3ab394149d50a3687474c458af95d506ef2ecfe0e51a057c5,"улица Советская, 111"
klin,Клин,в Клине,по Клину,Клина,"Клин, улица Гагарина, 5/6",3A37a342d8775838cbac8e7e0cdea8056289daf30c9ae6ac3f46f73908051cc5f3,"улица Гагарина, 5/6"
vidnoe,Видное,в Видном,по Видному,Видного,"Видное, улица Олимпийская, 6, корп. 1",3Ab29b852599abe46972bfafbf95fd996bb946b8068311f796e582258274bf6e09,"улица Олимпийская, 6, корп. 1"
shchyolkovo,Щёлково,в Щёлково,по Щёлково,Щёлково,"Щёлково, улица Талсинская, 1",3A210f3f6d9496d7cc5115c2914cdbb1a48e1b503e4d9e168b95d472d3a134de53,"улица Талсинская, 1"
elektrostal,Электросталь,в Электростали,по Электростали,Электростали,"Электросталь, улица Карла Маркса, 30А",3Aa2043f4131ea49b6e2285909f712decb75f816c6cb22f738dfe2c7a1d5929d1b,"улица Карла Маркса, 30А"
